Date,temperature,rain
2016-10-17,26,17
2016-10-18,26,17
2016-10-19,27,2
2016-10-20,28,49
2016-10-21,28,2
2016-10-22,27,0
2016-10-23,27,0
2016-10-24,25,0
2016-10-25,27,0
2016-10-26,27,0
2016-10-27,26,0
2016-10-28,26,0
2016-10-29,23,25
2016-10-30,22,0
2016-10-31,23,0
2016-11-1,22,7
2016-11-2,21,0
2016-11-3,21,0
2016-11-4,20,38
2016-11-5,22,0
2016-11-6,23,0
2016-11-7,25,0
2016-11-8,21,11
2016-11-9,20,2
2016-11-10,19,31
2016-11-11,21,0
2016-11-12,24,0
2016-11-13,24,0
2016-11-14,23,0
2016-11-15,23,0
2016-11-16,23,1
2016-11-17,24,0
2016-11-18,24,1
2016-11-19,23,0
2016-11-20,23,7
2016-11-21,22,13
2016-11-22,22,60
2016-11-23,19,75
2016-11-24,18,29
2016-11-25,20,7
2016-11-26,22,11
2016-11-27,19,9
2016-11-28,20,0
2016-11-29,20,1
2016-11-30,21,3
2016-12-1,19,38
2016-12-2,19,16
2016-12-3,21,17
2016-12-4,21,0
2016-12-5,21,3
2016-12-6,20,0
2016-12-7,19,0
2016-12-8,19,6
2016-12-9,21,0
2016-12-10,21,2
2016-12-11,20,12
2016-12-12,21,0
2016-12-13,19,0
2016-12-14,18,1
2016-12-15,15,1
2016-12-16,15,0
2016-12-17,18,0
2016-12-18,21,0
2016-12-19,21,0
2016-12-20,23,0
2016-12-21,24,0
2016-12-22,20,9
2016-12-23,18,0
2016-12-24,19,0
2016-12-25,22,0
2016-12-26,22,0
2016-12-27,15,26
2016-12-28,15,3
2016-12-29,16,0
2016-12-30,18,0
2016-12-31,19,0
